Course Names,descriptions,prereq,Column 4,Breadth requirements,distribution requirements
ECO402H1 - Topics in Health Economics,"This course explores a variety of topics in health economics, providing students with an overview of current and historical institutional characteristics of the market for, and public policy towards, health care. Students will apply theoretical and empirical tools to current domestic and international issues in health policy. No previous background in health economics is required.","ECO200Y1/ECO204Y1/ECO206Y1, ECO202Y1/ECO208Y1/ECO209Y1, ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1), at least 1.0 credit in ECO at the 300+ level.",,Society and its Institutions (3),Social Science
ECO403H1 - Topics in Development Economics and Policy,"This course covers a variety of topics pertaining to economic development and associated policies. Depending on the course instructor, the focus may be on theories and policies related to poverty alleviation, human capital formation, financial markets, international trade, governance or economic growth.","ECO200Y1/ECO204Y1/ECO206Y1, ECO202Y1/ECO208Y1/ECO209Y1, ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1), at least 1.0 credit in ECO at the 300+ level.",,Society and its Institutions (3),Social Science
ECO404H1 - Topics in Managerial Economics,"Applies quantitative economic methods to real world business-oriented cases. Sample topics include: new product design, decision making under uncertainty, market segmentation and price discrimination, inventory analysis, game theoretic analysis of price wars, financial portfolio design, and optimal pricing. Involves substantial modeling in Excel, regression analysis, optimization methods, and financial reports.","ECO200Y1(75%)/ECO204Y1/ECO206Y1, ECO372H1/ECO374H1/ECO375H1, at least 1.0 credit in ECO at the 300+ level.",,Society and its Institutions (3),Social Science
ECO406H1 - Developmental Macroeconomics,"This course studies a growth model applicable to both middle-income developing countries and resource-rich developed countries. Special attention is paid to causes of cyclical currency overvaluation, particularly Dutch disease and excessive capital inflows.","ECO200Y1/ECO204Y1/ECO206Y1, ECO202Y1/ECO208Y1/ECO209Y1, ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1), at least 1.0 credit in ECO at the 300+ level.",,Society and its Institutions (3),Social Science
ECO407H1 - Competing Views in Macroeconomic Theory and Policy,"Provides students with a systematic analysis of competing perspectives on key areas of macroeconomic theory and policy. Special attention paid to competing views regarding key fiscal, monetary, and trade policy issues as applied to Canada.","ECO200Y1/ECO204Y1/ECO206Y1, ECO202Y1/ECO208Y1/ECO209Y1, ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1), at least 1.0 credit in ECO at the 300+ level.",,Society and its Institutions (3),Social Science
"ECO409H1 - Topics in Money, Banking, and Finance",This course examines the foundations of money and financial institutions using tools mastered in micro and macroeconomics. The goal is a set of principles valid for the analysis of monetary policy and institutional regulation in a variety of real world settings.,"ECO200Y1/ECO204Y1/ECO206Y1, ECO202Y1/ECO208Y1/ECO209Y1, ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1), at least 1.0 credit in ECO at the 300+ level.",,Society and its Institutions (3),Social Science
ECO410H1 - Mergers and Competition Policy,"A combined theoretical, empirical and policy approach to mergers amongst competitors (horizontal mergers). Uses microeconomic models including game theory and econometrics. Delves into recent/current matters assessed by antitrust authorities domestically and/or internationally with applications to specific industries.","ECO372H1/ECO374H1/ECO375H1, at least 1.0 credit in ECO at the 300+ level.",,Society and its Institutions (3),Social Science
ECO414H1 - Energy and Regulation,"This course provides a general treatment of the economics of energy markets and the use of regulation in addressing environmental and other issues arising in these markets. A central theme is the search for an appropriate balance between market forces and regulatory/government intervention. Familiarity with tools of microeconomics and statistics/econometrics is essential. Topics include: oil, natural gas, coal and electricity markets, global warming and other externalities, networks, feed-in-tariffs, carbon taxes, ‘cap-and-trade’ and incentive regulation.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO416H1 - Macroeconometric Models for Policy Analysis and Forecasting,The construction and operation of macroeconometric models. The use of models for conducting policy simulations and for generating quantitative forecasts of economic activity.,"ECO325H1, ECO374H1/ECO375H1",,Society and its Institutions (3),Social Science
ECO417H1 - Economic Development Policy: Community Engaged Learning,"An examination of the causes and consequence of poverty in developing countries with a microeconomic focus, and how it relates it to poverty in the developed world, using a 30-hour service placement at a community organization. Importance of community and context specific factors in policy implementation; learn how local organizations have responded. Use of reflection assignments, papers, group work and class discussions to relate to course concepts. Topics include: poverty traps, health, education, and credit. An application to the instructor is necessary. Not eligible for CR/NCR option.","ECO200Y1/ECO204Y1/ECO206Y1; ECO202Y1/ECO208Y1/ECO209Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO418H1 - Empirical Applications of Economic Theory,"Topics class in applied econometrics, emphasizing empirical industrial organization. Emphasis on a balanced treatment of theory and econometric techniques used in empirical research in industrial organization (the study of firms and markets). How firms behave, how market equilibriums arise and how economic policies are used to affect market equilibriums.",ECO374H1/ECO375H1,,Society and its Institutions (3),Social Science
ECO419H1 - International Macroeconomics,"This course studies the causes and consequences of international borrowing and lending and exchange rate fluctuations. We will discuss key empirical facts about these phenomena, develop economic models to understand the forces that drive them, and apply the models to gain insights about a variety of historical contexts like China's rapid economic development and the recent sovereign debt crises in the Eurozone periphery.","ECO200Y1/ECO204Y1/ECO206Y1; ECO202Y1/ECO208Y1/ECO209Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO420Y1 - Special Topics in Economics,Seminars or workshops may be offered in one or more subjects each year. Students must meet the prerequisites announced by the Department.,See the Department of Economics website for details.,,Society and its Institutions (3),Social Science
ECO421H1 - Special Topics in Economics,Seminars or workshops may be offered in one or more subjects each year. Students must meet the prerequisites announced by the Department.,See the Department of Economics website for details.,,Society and its Institutions (3),Social Science
ECO422H1 - Special Topics in Economics,Seminars or workshops may be offered in one or more subjects each year. Students must meet the prerequisites announced by the Department.,See the Department of Economics website for details.,,Society and its Institutions (3),Social Science
ECO423H1 - Economics and Biosocial Data,"This course introduces and critically assesses economic research that uses genetic, neuroscientific, and other biosocial data. We will address questions such as: what are the effects of brain neurochemistry on economic decision-making? What role do nature and nurture play in economic behaviour and outcomes? What can we learn from genoeconomics? What are the policy implications (or lack thereof) of related findings? No previous background in biology or genetics is required.","ECO200Y1/ECO204Y1/ECO206Y1, ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1), at least 1.0 credit in ECO at the 300+ level.",,Society and its Institutions (3),Social Science
ECO425H1 - Business Cycles,"This course builds on material covered in ECO208Y1. Students will learn how to use business cycle models to better understand key empirical features of the macroeconomy. Topics covered include: the financial crisis, monetary policy, fiscal policy, theories of unemployment, and the effects of innovation on economic fluctuations, the Great Depression and the Financial Crisis.","ECO200Y1/ECO204Y1/ECO206Y1, ECO202Y1/ECO208Y1/ECO209Y1, ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1), at least 1.0 credit in ECO at the 300+ level.",,Society and its Institutions (3),Social Science
ECO426H1 - Market Design,"This course presents the theory and practice of market design, including matching markets and auctions. Sample topics include: school choice, kidney exchange, spectrum auctions, and keyword auctions.",ECO316H1(60%)/ECO326H1,,Society and its Institutions (3),Social Science
ECO427H1 - Economics of Information,"This course examines the role and the use of information in strategic situations. The class will expand on the material covered in game theory classes and illustrate it with applications. Topics include: communication, signalling, building reputations, adverse selection, etc.",ECO316H1(60%)/ECO326H1,ECO421H1,Society and its Institutions (3),Social Science
ECO428H1 - Classical Economic Thought,"An examination of the price, distribution, and growth theories of major economic thinkers before 1870, from pre-classical contributions by Aristotle, Mercantilists, and Physiocrats to the classical authors Adam Smith, David Ricardo, T.R. Malthus, and Karl Marx.",ECO200Y1/ECO204Y1/ECO206Y1; ECO202Y1/ECO208Y1/ECO209Y1,,Society and its Institutions (3),Social Science
ECO429H1 - Economic Thought after 1870,"Economic analysis between 1870 and 1960, from the foundations of microeconomics by the Marginal Utility theorists of the 1870s (Jevons, Menger, and Walras), Alfred Marshall in the 1890s, and the capital theorists Bohm-Bawerk and Fisher in the early 1900s, to the Keynesian revolution in macroeconomics in the 1930s and Friedman's counter-revolution in the 1950s.",ECO200Y1/ECO204Y1/ECO206Y1; ECO202Y1/ECO208Y1/ECO209Y1,,Society and its Institutions (3),Social Science
ECO430Y1 - Reading Course or Thesis,Intended for advanced Specialist students who have exhausted course offerings in a particular area. Open only when a faculty member is available and willing to supervise. Students must obtain the approval of the Associate Chair for Undergraduate Studies before enrolling. Not eligible for CR/NCR option.,,,Society and its Institutions (3),Social Science
ECO431H1 - Reading Course or Thesis,Intended for advanced Specialist students who have exhausted course offerings in a particular area. Open only when a faculty member is available and willing to supervise. Students must obtain the approval of the Associate Chair for Undergraduate Studies before enrolling. Not eligible for CR/NCR option.,,,Society and its Institutions (3),Social Science
ECO434H1 - Topics in Political Economy,"This course surveys recent advances in political economy, emphasizing the critical evaluation of empirical evidence pertaining to political economic theories. Topics vary by year, but may include: voters and electoral competition, and the political economy of media and political agency.",ECO316H1/ECO326H1; ECO374H1/ECO375H1,,Society and its Institutions (3),Social Science
ECO435H1 - The Economics of Modern China,"A focus on post-1949 Chinese economy, and the PRCs economic legacy. Economic development during the Maoist period, particularly post-1979 reforms. China's experience is compared to Eastern Europe's and the role of China in the rapidly growing East Asian economy. This is a limited enrolment seminar requiring extensive reading.","ECO200Y1(70%)/ECO204Y1(70%)/ECO206Y1(70%); ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO437H1 - Quantitative Macroeconomics,"In order to capture the complexity of economic behaviour and interactions, especially with a significant time dimension, modern models of the macroeconomy make considerable use of computer simulation. This course teaches students both how to develop the economic models, and how to solve and work with them computationally.",ECO325H1,,Society and its Institutions (3),Social Science
ECO438H1 - Topics in Behavioural Economics,"Behavioural Economics is a relatively new field that incorporates insights gained from psychological, experimental and neuroscientific studies. Research methods adapted from behavioural economics are now being employed in virtually every field in economics. The course will cover the main themes in behavioural economics: individual choices under risk and uncertainty, reference-dependent choices, intertemporal preferences, other-regarding preferences, bounded rationality in individual and interactive decision-making, and the measurement of rationality and recovery of preferences.","ECO200Y1/​ECO204Y1/​ECO206Y1, ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1), at least 1.0 credit in ECO at the 300+ level.",ECO422H1,Society and its Institutions (3),Social Science
ECO439H1 - Empirical Methods in Microeconomics,"This course studies the methods used in modern program evaluation and micro-econometrics to identify causal effects in the presence of potentially unobserved confounding factors. Covers a range of methods and designs, both experimental and quasi-experimental. There is a heavy emphasis on the application of these methods to a broad range of economic questions.","(ECO375H1(60%)/ECO374H1(70%)) OR (ECO200Y1(80%)/ECO204Y1(80%)/ECO206Y1(80%), (ECO220Y1(80%)/ECO227Y1(80%))",,Society and its Institutions (3),Social Science
ECO446H1 - Advanced Public Economics,"Advanced topics in public economics and economic analysis of Canadian public policy. Through a mix of lectures and independent research, students will acquire theoretical and empirical tools for public policy analysis. Topics may include: income inequality and redistribution; fiscal federalism; taxation of corporate profits; and policies to deal with public goods and externalities.","ECO200Y1/ ECO204Y1/ ECO206Y1, ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1), at least 1.0 credit in ECO at the 300+ level.",,Society and its Institutions (3),Social Science
ECO451H1 - Macroeconomic Growth,"Studies current empirical evidence, and corresponding theoretical models to explain and understand macroeconomic growth, and its varied experience across countries. Coverage and depth of treatment go beyond ECO362H1. Students may benefit from, but need not have taken ECO362H1.",ECO325H1(60%); ECO374H1(60%)/ECO375H1(60%),,Society and its Institutions (3),Social Science
ECO456H1 - Special Topics in Financial Economics,Courses may be offered in one or more subjects each year. Students must meet the prerequisites announced by the Department.,See the Department of Economics website for details.,,Society and its Institutions (3),Social Science
ECO459H1 - International Trade Regulation,"The theory and political economy of international trade, with examination of specific trade institutions: Bretton Woods, WTO, NAFTA, tariff administration, most-favoured nation treatment, antidumping regulation, subsidies and countervailing duties, agriculture, trade in services, trade-related intellectual property, trade and environment, trade and developing countries.","ECO364H1, ECO365H1, permission of the instructor",,Society and its Institutions (3),Social Science
ECO461H1 - The Economics of Financial Risk Management,"This course is intended primarily for students in the Financial Economics specialist program and is not open to students in the BCom program. The role of risk management in both private and public sectors, a discussion of why firms and government should hedge financial risks; individual and social gains of financial risk management; identification and quantification of financial risks (including Value-at-Risk measures); how derivative securities can be used for financial risk management.",ECO358H1(70%),,Society and its Institutions (3),Social Science
ECO462H1 - Financial Econometrics,"This course is intended primarily for students in the Financial Economics specialist program. An introduction to the econometrics used in empirical finance, with an emphasis on estimation and inference using computer based applications. Topics will include: parametric and nonparametric models of volatility, evaluation of asset pricing theories, and models for risk management and transactions data.",ECO358H1(70%); ECO375H1(70%)/ ECO375H5(70%),,Society and its Institutions (3),Social Science
ECO463H1 - Financial Market Innovation,"A research-oriented course that explores the impact of technological developments on the industrial organization of financial markets. Topics include: the impact of the automated financial products and procedures (e.g., algorithmic trading and robo-advising) on the price formation process, the economic impact of new tools and technologies (e.g., blockchain, digital currencies, and predictive analytics such as machine learning), the emergence of alternative financing methods such as crowdfunding and peer-to-peer lending.",ECO200Y1(70%)/ECO204Y1(60%)/ECO206Y1(60%); ECO374H1(70%)/ECO375H1(70%)/CSC321H1/CSC411H1,,Society and its Institutions (3),Social Science
ECO464H1 - Empirical Financial Economics,"The course develops the tools used in empirical research in financial economics. Coverage may include: discrete choice models, duration models, instrumental variables, differences-in-differences, regression discontinuity, propensity score estimators, sample selection models and cumulative abnormal return calculation. Topics are drawn from: ownership structure, mergers and acquisitions, capital structure, payout policy, CEOs’ effect on the firm, executive compensation, insider trading, shareholder activism, and bank financing.",ECO358H1(70%)/ RSM332H1(70%); ECO374H1(70%)/ ECO375H1(70%)/ ECO375H5(70%)/ ECO327Y5(70%),,Society and its Institutions (3),Social Science
ECO465H1 - International Finance,An advanced course that addresses topics in international finance and macroeconomics. Potential topics include: foreign exchange market; exchange rate determination; empirical models of exchange rates; international financial markets and uncertainty; international CAPM and home bias; sovereign debt; optimal capital controls.,"One of the following: ECO365H1(80%)/(ECO325H1(60%), ECO374H1(60%))/(ECO325H1(60%), ECO375H1(60%))",,Society and its Institutions (3),Social Science
ECO466H1 - Empirical Macroeconomics and Policy,"This course builds on ECO325H1, ECO374H1 and ECO375H1 as students increase their data literacy and learn modelling techniques to address policy issues. The course covers how monetary policy is conducted, central bank use of general equilibrium models, and basic techniques for predicting key macroeconomic variables. The class is divided into teams which make regular presentations on current global and domestic issues, the economic outlook, and how the Bank of Canada should adjust monetary policy in the short run. Traditionally, at the end of the course, a team from ECO466H1 is chosen to compete in the Bank of Canada Governor’s Challenge.",ECO208Y1(70%)/ ECO209Y1(70%)/ ECO202Y1(75%)/ ECO325H1(70%); ECO374H1(70%)/ ECO375H1(70%); Permission of the instructor.,,Society and its Institutions (3),
ECO475H1 - Applied Econometrics II,"A research-oriented course continuing from ECO375H. The regression model is extended in several possible directions: time series analysis; panel data techniques; instrumental variables; simultaneous equations; limited dependent variables. Students will complete a major empirical term paper, applying the tools of econometrics to a topic chosen by the student.","ECO375H1(70%)/ECO374H1(80%), NOTE: STA302H1 is not accepted preparation.",ECO376H1,Society and its Institutions (3),Social Science
ECO499H1 - Honours Essay in Applied Microeconomics,"Students will complete an original research paper on a topic of their choosing. Topic must be microeconomic and applied, meaning all papers will involve data and quantitative (regression) analysis.","ECO200Y1/ECO204Y1/ECO206Y1; ECO202Y1/ECO208Y1/ECO209Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1); ECO372H1/ECO374H1/ECO375H1; 3.0 GPA in economics courses; approval of the Associate Chair, Undergraduate.",,Society and its Institutions (3),Social Science
